Land-ID,Version,Flagge,Name,Generieren,ShapeId,Hinweistext,Tmp 1,Tmp 2,Signatur,Clustergröße,Rechtwinklig?,Rahmen?,Gösch?,Dreieck von links?,Die Dreiecksform(en) bestehen aus wie vielen Farben?,Hintergrundtyp,W-Streifen,3W,5W,S-Streifen,S-Anordnung,Kreuzausrichtung,Kreuzarme,Diagonal Richtung,Diagonal Anzahl Streifen,SW Streifen,Spezial,Hintergrundfarben,E1,E1 Position,E1 Farbe,E1 Anzahl,E2,E2 Position,E2 Farbe,E2 Anzahl,E3,E3 Position,E3 Farbe,E3 Anzahl,E4,E4 Position,E4 Farbe,E4 Anzahl,Gösch Farbe,Dreieck Farbe,Rahmen Farbe,Emblem,,
83,,,Kap Verde,1,middle big|2417|1507,,,,1|0|0|0|x|0|5|x|3-1-1-1-2|x|x|x|x|x|x|x|x,1,1,0,0,0,x,0,5,x,3-1-1-1-2,x,x,x,x,x,x,x,x,Blau|Weiß|Rot|Weiß|Blau,Stern,6 (9),Gelb,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,10 Inseln wie Sterne,
84,,,Kasachstan,,,,../images/pictures/flags96/Kazakhstan.jpg,Kazakhstan,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Muster,3,Gelb,x,Sonne,4,Gelb,x,Vogel,4,Gelb,x,x,x,x,x,x,x,x,,,
85,,,Katar,,,,../images/pictures/flags96/Qatar.jpg,Qatar,1|0|0|0|x|7|x|x|x|x|x|x|x|x|x|x|1,2,1,0,0,0,x,7,x,x,x,x,x,x,x,x,x,x,1,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
86,,,Kenia,,,,../images/pictures/flags96/Kenya.jpg,Kenya,1|0|0|0|x|0|5|x|2-1-2-1-2|x|x|x|x|x|x|x|x,2,1,0,0,0,x,0,5,x,2-1-2-1-2,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
87,,,Kirgisistan,,,,../images/pictures/flags96/Kyrgyzstan.jpg,Kyrgyzstan,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
88,,,Kiribati,1,,,,,1|0|0|0|x|7|x|x|x|x|x|x|x|x|x|x|4,1,1,0,0,0,x,7,x,x,x,x,x,x,x,x,x,x,4,Rot|Weiß|Blau,Sonne,4,Gelb,x,Vogel,1,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,,,
89,,,Kolumbien,,,,../images/pictures/flags96/Colombia.jpg,Colombia,1|0|0|0|x|0|3|3|x|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,3,3,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
90,,,Komoren,,,,../images/pictures/flags96/Comoros.jpg,Comoros,1|0|0|1|1|0|4|x|x|x|x|x|x|x|x|x|x,1,1,0,0,1,1,0,4,x,x,x,x,x,x,x,x,x,x,,Mond,3,Weiß,x,Stern,3,Weiß,4,x,x,x,x,x,x,x,x,x,x,x,,,
91,,,Kosovo,1,,,,,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Blau,Landumriss,4,Gelb,x,Stern,1,Weiß,6,x,x,x,x,x,x,x,x,x,x,x,,,
92,,,Kroatien,,,,../images/pictures/flags96/Croatia.jpg,Croatia,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
93,,,Kuba,,,,../images/pictures/flags96/Cuba.jpg,Cuba,1|0|0|1|1|0|5|x|1-1-1-1-1|x|x|x|x|x|x|x|x,2,1,0,0,1,1,0,5,x,1-1-1-1-1,x,x,x,x,x,x,x,x,Blau|Weiß|Blau|Weiß|Blau,Stern,3,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,x,Rot,x,,,
94,,,Kuwait,1,,,,,1|0|0|2|1|0|3|0|x|x|x|x|x|x|x|x|x,1,1,0,0,2,1,0,3,0,x,x,x,x,x,x,x,x,x,Grün|Weiß|Rot,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Schwarz,x,,,
95,,,Laos,,,,../images/pictures/flags96/Laos.jpg,Laos,1|0|0|0|x|0|3|1|x|x|x|x|x|x|x|x|x,8,1,0,0,0,x,0,3,1,x,x,x,x,x,x,x,x,x,,Kreis,4,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
96,,,Lesotho,1,,,,,1|0|0|0|x|0|3|1|x|x|x|x|x|x|x|x|x,8,1,0,0,0,x,0,3,1,x,x,x,x,x,x,x,x,x,Blau|Weiß|Grün,Hut,4,Schwarz,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
97,,,Lettland,,,,../images/pictures/flags96/Latvia.jpg,Latvia,1|0|0|0|x|0|3|2|x|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,3,2,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
98,,,Libanon,1,,,,,1|0|0|0|x|0|3|1|x|x|x|x|x|x|x|x|x,8,1,0,0,0,x,0,3,1,x,x,x,x,x,x,x,x,x,Rot|Weiß|Rot,Baum,4,Grün,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
99,,,Liberia,1,,,,,1|0|1|0|x|0|11|x|x|x|x|x|x|x|x|x|x,1,1,0,1,0,x,0,11,x,x,x,x,x,x,x,x,x,x,Rot|Weiß,Stern,0,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,Blau,x,x,,,
100,,,Libyen,,,,../images/pictures/flags96/Libya.jpg,Libya,1|0|0|0|x|0|3|1|x|x|x|x|x|x|x|x|x,8,1,0,0,0,x,0,3,1,x,x,x,x,x,x,x,x,x,,Mond,4,Weiß,x,Stern,4,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,,,
101,,,Liechtenstein,1,small|2972|874,,,,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,Blau|Rot,Krone,0,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
102,,,Litauen,,,,../images/pictures/flags96/Lithuania.jpg,Lithuania,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
103,,,Luxemburg,,,,../images/pictures/flags96/Luxembourg.jpg,Luxembourg,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
104,,,Madagaskar,,,,../images/pictures/flags96/Madagascar.jpg,Madagascar,1|0|0|0|x|5|x|x|x|x|x|x|x|x|x|2|x,3,1,0,0,0,x,5,x,x,x,x,x,x,x,x,x,2,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
105,,,Malawi,,,,../images/pictures/flags96/Malawi.jpg,Malawi,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Sonne,1,Rot,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
106,,,Malaysia,,,,../images/pictures/flags96/Malaysia.jpg,Malaysia,1|0|1|0|x|0|14|x|x|x|x|x|x|x|x|x|x,1,1,0,1,0,x,0,14,x,x,x,x,x,x,x,x,x,x,,Mond,0,Gelb,x,Stern,0,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,,,
107,,,Malediven,1,,,,,1|1|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,1,1,1,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Grün,Mond,4,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Rot,,,
108,,,Mali,,,,../images/pictures/flags96/Mali.jpg,Mali,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
109,,,Malta,,,,../images/pictures/flags96/Malta.jpg,Malta,1|0|0|0|x|1|x|x|x|2|0|x|x|x|x|x|x,2,1,0,0,0,x,1,x,x,x,2,0,x,x,x,x,x,x,,Emblem,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
110,,,Marokko,,,,../images/pictures/flags96/Morocco.jpg,Morocco,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Stern,4,Grün,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
111,,,Marshallinseln,1,,,,,1|0|0|x|x|3|x|x|x|x|x|x|x|2|2|x|x,1,1,0,0,x,x,3,x,x,x,x,x,x,x,2,2,x,x,Blau|Orange(Gelb)|Weiß,Stern,0,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
112,,,Mauretanien,,,,../images/pictures/flags96/Mauritania.jpg,Mauritania,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Mond,4,Gelb,x,Stern,1,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,,,
113,,,Mauritius,,,,../images/pictures/flags96/Mauritius.jpg,Mauritius,1|0|0|0|x|0|4|x|x|x|x|x|x|x|x|x|x,1,1,0,0,0,x,0,4,x,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
114,,,Mexiko,,,,../images/pictures/flags96/Mexico.jpg,Mexico,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
115,,,Mikronesien,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/330px-Flag_of_the_Federated_States_of_Micronesia.svg.png,Micronesia,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Stern,9,Weiß,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
116,,,Moldau,,,,../images/pictures/flags96/Moldova.jpg,Moldova,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
117,,,Monaco,,,,../images/pictures/flags96/Monaco.jpg,Monaco,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
118,,,Mongolei,,,,../images/pictures/flags96/Mongolia.jpg,Mongolia,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Emblem,3,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
119,,,Montenegro,,,,../images/pictures/flags96/Montenegro.jpg,Montenegro,1|1|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,2,1,1,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Gelb,,,
120,,,Mosambik,1,,,,,1|0|0|1|1|0|5|x|2-1-2-1-2 (3-1-2-1-3)|x|x|x|x|x|x|x|x,1,1,0,0,1,1,0,5,x,2-1-2-1-2 (3-1-2-1-3),x,x,x,x,x,x,x,x,Grün|Weiß|Schwarz|Weiß|Gelb,Stern,3,Gelb,1,Gewehr,3,Schwarz,x,Ackergerät,3,Schwarz,x,Buch,3,Weiß,x,x,Rot,x,,Hacke,
121,,,Myanmar,,,,../images/pictures/flags96/Myanmar.jpg,Myanmar,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Stern,4,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
122,,,Namibia,,,,../images/pictures/flags96/Namibia.jpg,Namibia,1|0|0|x|x|3|x|x|x|x|x|x|x|0|3|x|x,4,1,0,0,x,x,3,x,x,x,x,x,x,x,0,3,x,x,,Sonne,0,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
123,,,Nauru,,,,../images/pictures/flags96/Nauru.jpg,Nauru,1|0|0|0|x|0|3|2|x|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,3,2,x,x,x,x,x,x,x,x,x,,Stern,6,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
124,,,Nepal,1,,,,,0|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Rot|Blau,Mond,1,Weiß,x,Sonne,7,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,,,
125,,,Neukaledonien,,,,../images/pictures/flags96/New_Caledonia.jpg,New_Caledonia,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Emblem,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
126,,,Neuseeland,,,,../images/pictures/flags96/New_Zealand.jpg,New_Zealand,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Union Jack,0,x,x,Stern,9,Rot,4,x,x,x,x,x,x,x,x,x,x,x,,,
127,,,Nicaragua,,,,../images/pictures/flags96/Nicaragua.jpg,Nicaragua,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
128,,,Niederlande,,,,../images/pictures/flags96/Netherlands.jpg,Netherlands,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
129,,,Niger,,,,../images/pictures/flags96/Niger.jpg,Niger,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Kreis,4,Orange,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
130,,,Nigeria,,,,../images/pictures/flags96/Nigeria.jpg,Nigeria,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
131,,,Niue,,,,,,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Union Jack,0,x,x,Stern,0,Gelb,5,x,x,x,x,x,x,x,x,x,x,x,,,
132,,,Nordkorea,,,,../images/pictures/flags96/North_Korea.jpg,North-Korea,1|0|0|0|x|0|5|x|2-1-3-1-2|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,5,x,2-1-3-1-2,x,x,x,x,x,x,x,x,Blau|Weiß|Rot|Weiß|Blau,Kreis,3,Weiß,x,Stern,3,Rot,1,x,x,x,x,x,x,x,x,x,x,x,,,
133,,,Nordmazedonien,,,,../images/pictures/flags96/Macedonia.jpg,Macedonia,1|0|0|0|x|7|x|x|x|x|x|x|x|x|x|x|5,1,1,0,0,0,x,7,x,x,x,x,x,x,x,x,x,x,5,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
134,,,Nordzypern,,,,,,1|0|0|0|x|0|5|x|1-1-2-1-1|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,5,x,1-1-2-1-1,x,x,x,x,x,x,x,x,,Stern,4,Rot,1,Mond,3,Rot,x,x,x,x,x,x,x,x,x,x,x,x,,,
135,,,Norwegen,,,,../images/pictures/flags96/Norway.jpg,Norway,1|0|0|x|x|2|x|x|x|x|x|0|2|x|x|x|x,2,1,0,0,x,x,2,x,x,x,x,x,0,2,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
136,,,Oman,,,,../images/pictures/flags96/Oman.jpg,Oman,1|0|0|0|x|5|x|x|x|x|x|x|x|x|x|3|x,2,1,0,0,0,x,5,x,x,x,x,x,x,x,x,x,3,x,,Emblem,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
137,,,Österreich,,,,../images/pictures/flags96/Austria.jpg,Austria,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
138,,,Osttimor,,,,../images/pictures/flags96/East_Timor.jpg,East_Timor,1|0|0|1|2|4|x|x|x|x|x|x|x|x|x|x|x,1,1,0,0,1,2,4,x,x,x,x,x,x,x,x,x,x,x,,Stern,3,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
139,,,Pakistan,,,,../images/pictures/flags96/Pakistan.jpg,Pakistan,1|0|0|0|x|1|x|x|x|2|2|x|x|x|x|x|x,2,1,0,0,0,x,1,x,x,x,2,2,x,x,x,x,x,x,,Mond,5,Weiß,x,Stern,5,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,,,
140,,,Palästina,,,,../images/pictures/flags96/Palestine.jpg,Palestine,1|0|0|1|1|0|3|0|x|x|x|x|x|x|x|x|x,6,1,0,0,1,1,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
141,,,Palau,,,,../images/pictures/flags96/Palau.jpg,Palau,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Kreis,3,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
142,,,Panama,,,,../images/pictures/flags96/Panama.jpg,Panama,1|0|0|x|x|2|x|x|x|x|x|0|3|x|x|x|x,1,1,0,0,x,x,2,x,x,x,x,x,0,3,x,x,x,x,,Stern,9,Blau|Rot,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
143,,,Papua-Neuguinea,,,,../images/pictures/flags96/Papua_New_Guinea.jpg,Papua_New_Guinea,1|0|0|x|x|3|x|x|x|x|x|x|x|1|0|x|x,1,1,0,0,x,x,3,x,x,x,x,x,x,x,1,0,x,x,,Vogel,2,Gelb,x,Stern,6,Weiß,5,x,x,x,x,x,x,x,x,x,x,x,,,
144,,,Paraguay,,,,../images/pictures/flags96/Paraguay.jpg,Paraguay,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
145,,,Peru,,,,../images/pictures/flags96/Peru.jpg,Peru,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
146,,,Philippinen,,,,../images/pictures/flags96/Philippines.jpg,Philippines,1|0|0|1|1|0|2|x|x|x|x|x|x|x|x|x|x,3,1,0,0,1,1,0,2,x,x,x,x,x,x,x,x,x,x,,Stern,3,Gelb,3,Sonne,3,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,,,
147,,,Polen,,,,../images/pictures/flags96/Poland.jpg,Poland,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
148,,,Portugal,,,,../images/pictures/flags96/Portugal.jpg,Portugal,1|0|0|0|x|1|x|x|x|2|2|x|x|x|x|x|x,2,1,0,0,0,x,1,x,x,x,2,2,x,x,x,x,x,x,,Emblem,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
149,,,Puerto Rico,,,,../images/pictures/flags96/Puerto_Rico.jpg,Puerto_Rico,1|0|0|1|1|0|5|x|1-1-1-1-1|x|x|x|x|x|x|x|x,2,1,0,0,1,1,0,5,x,1-1-1-1-1,x,x,x,x,x,x,x,x,,Stern,3,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
150,,,Republik Kongo,,,,../images/pictures/flags96/Republic_of_the_Congo.jpg,Republic_of_the_Congo,1|0|0|x|x|3|x|x|x|x|x|x|x|0|1|x|x,2,1,0,0,x,x,3,x,x,x,x,x,x,x,0,1,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
151,,,Ruanda,,,,../images/pictures/flags96/Rwanda.jpg,Rwanda,1|0|0|0|x|0|3|3|x|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,3,3,x,x,x,x,x,x,x,x,x,,Sonne,0,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
152,,,Rumänien,,,,../images/pictures/flags96/Romania.jpg,Romania,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
153,,,Russland,,,,../images/pictures/flags96/Russia.jpg,Russia,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
154,,,Salomonen,,,,../images/pictures/flags96/Solomon_Islands.jpg,Solomon_Islands,1|0|0|x|x|3|x|x|x|x|x|x|x|0|1|x|x,2,1,0,0,x,x,3,x,x,x,x,x,x,x,0,1,x,x,,Stern,0,Weiß,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
155,,,Sambia,,,,../images/pictures/flags96/Zambia.jpg,Zambia,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Muster,8,x,x,Vogel,2,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,,,
156,,,Samoa,,,,../images/pictures/flags96/Samoa.jpg,Samoa,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Stern,0,Weiß,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
157,,,San Marino,,,,../images/pictures/flags96/San_Marino.jpg,San_Marino,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
158,,,São Tomé und Príncipe,,,,../images/pictures/flags96/Sao_Tome_and_Principe.jpg,Sao_Tome_and_Principe,1|0|0|1|1|0|3|1|x|x|x|x|x|x|x|x|x,1,1,0,0,1,1,0,3,1,x,x,x,x,x,x,x,x,x,,Stern,5,Schwarz,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
159,,,Saudi-Arabien,,,,../images/pictures/flags96/Saudi_Arabia.jpg,Saudi_Arabia,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Schrift,1,Weiß,x,Schwert,1,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,,,
160,,,Schottland,,,,../images/pictures/flags96/Scotland.jpg,Scotland,1|0|0|x|x|2|x|x|x|x|x|1|0|x|x|x|x,3,1,0,0,x,x,2,x,x,x,x,x,1,0,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
161,,,Schweden,,,,../images/pictures/flags96/Sweden.jpg,Sweden,1|0|0|x|x|2|x|x|x|x|x|0|0|x|x|x|x,6,1,0,0,x,x,2,x,x,x,x,x,0,0,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
162,,,Schweiz,1,,,,,2|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,1,2,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Rot,Kreuz,4,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
163,,,Senegal,,,,../images/pictures/flags96/Senegal.jpg,Senegal,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Stern,4,Grün,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
164,,,Serbien,,,,../images/pictures/flags96/Serbia.jpg,Serbia,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Emblem,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
165,,,Seychellen,1,,,,,1|0|0|x|x|3|x|x|x|x|x|x|x|2|3 (5)|x|x,1,1,0,0,x,x,3,x,x,x,x,x,x,x,2,3 (5),x,x,Blau|Gelb|Rot|Weiß|Grün,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
166,,,Sierra Leone,,,,../images/pictures/flags96/Sierra_Leone.jpg,Sierra_Leone,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
167,,,Simbabwe,,,,../images/pictures/flags96/Zimbabwe.jpg,Zimbabwe,1|0|0|1|2|0|7|x|x|x|x|x|x|x|x|x|x,1,1,0,0,1,2,0,7,x,x,x,x,x,x,x,x,x,x,,Stern,3,Rot,1,Vogel,3,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,,,
168,,,Singapur,,small|4539|1801,,../images/pictures/flags96/Singapore.jpg,Singapore,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,Rot|Weiß,Mond,0,Weiß,x,Stern,0,Weiß,5,x,x,x,x,x,x,x,x,x,x,x,,,
